input,subject,subject_type,data/object,relation,object,object_type
本章旨在全面系统地介绍以RDF为数据模型的知识图谱语义搜索基础技术以及面临的挑战。,知识图谱,知识图谱,,包含,语义搜索,语义搜索
7.1语义搜索简介搜索也称信息检索（Information_Retrieval），是从信息资源集合获得与信息需求相关的信息资源的活动[1]。,语义搜索,语义搜索,,等价,信息检索,语义搜索
7.1语义搜索简介搜索也称信息检索（Information_Retrieval），是从信息资源集合获得与信息需求相关的信息资源的活动[1]。,语义搜索,语义搜索,属性,被定义为,从信息资源集合获得与信息需求相关的信息资源的活动,文本
其中，最广泛的信息检索主要是面向文档为单位的检索（Document_Retrieval）。,信息检索,语义搜索,,包含,面向文档为单位的检索,语义搜索
此外，面向数据的检索（Data_Retrieval）也受到越来越多的关注，主要包括基于数据库的检索和基于知识库的检索，其特点是能够提供更精确的答案[5]。,信息检索,语义搜索,,包含,面向数据的检索,语义搜索
此外，面向数据的检索（Data_Retrieval）也受到越来越多的关注，主要包括基于数据库的检索和基于知识库的检索，其特点是能够提供更精确的答案[4]。,面向数据的检索,语义搜索,,包含,基于数据库的检索,语义搜索
此外，面向数据的检索（Data_Retrieval）也受到越来越多的关注，主要包括基于数据库的检索和基于知识库的检索，其特点是能够提供更精确的答案[5]。,面向数据的检索,语义搜索,,包含,基于知识库的检索,语义搜索
此外，面向数据的检索（Data_Retrieval）也受到越来越多的关注，主要包括基于数据库的检索和基于知识库的检索，其特点是能够提供更精确的答案[5]。,面向数据的检索,语义搜索,属性,特点,能够提供更精确的答案,文本
面向文档的信息检索主要通过轻量级的语法模型（Lightweight_Syntax-Centric_Model）表示用户的检索需求和资源的内容，即目前占主导地位的关键词模式——词袋模型（Bag-of-Words）。,面向文档的信息检索,语义搜索,,方法,轻量级的语法模型,语义搜索
面向文档的信息检索主要通过轻量级的语法模型（Lightweight_Syntax-Centric_Model）表示用户的检索需求和资源的内容，即目前占主导地位的关键词模式——词袋模型（Bag-of-Words）。,轻量级的语法模型,语义搜索,,包含,词袋模型,语义搜索
面向文档的信息检索主要通过轻量级的语法模型（Lightweight_Syntax-Centric_Model）表示用户的检索需求和资源的内容，即目前占主导地位的关键词模式——词袋模型（Bag-of-Words）。,轻量级的语法模型,语义搜索,属性,英文名,Lightweight_Syntax-Centric_Model,文本
